ACO_Num,year,ACO_State,Start_Date,Track1,Track2,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_INP_Other,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO_NAME,N_AB_Year,N_AB_Year_ESRD,N_AB_Year_DIS,N_AB_Year_AGED_Dual,N_AB_Year_AGED_NonDual,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,CHF_ADM,COPD_ADM,PNEU_ADM
A46707,2014,California,4/1/12,1,0,0,8683,-0.0099,0.0313,-1113674,0,0,0.84,13375,13406,112544847,113658521,,,0.5,0.42,86762,11419,13111,11012,89896,12480,13964,11191,86983,12318,14669,11537,97071,11790,14781,11136,13508,1.049,1.359,1.076,1.254,1.063,1.414,1.092,1.229,1.02,1.334,1.125,1.243,1.011,1.247,1.123,1.212,153,1625,1927,6164,1530,3446,2369,1338,4945,3738,6232,826,575,525,12,513,4688,3719,679,309,122,7,385,341,18,14,12,189,773,94,708,273,639,292,11548,4640,6726,174,8,0,0,0,0,0,117,108,8,0,0,"Premier ACO Physician Network, LLC",8414,179,1117,1054,6064,219,1562,1985,4446,231,891,258,12.35973973,9.745179404,9.626335753
A28708,2014,Illinois,7/1/12,1,0,0,135350,-0.0036,0.02,-5274604,0,0,0.91,11281,11553,1480187677,1485462281,,,0.5,0.45,89878,10176,16904,9781,89385,10484,17424,10155,91671,10517,16780,10255,90751,10853,19216,10089,11321,1.052,1.123,1.058,1.044,1.043,1.126,1.043,1.044,1.046,1.125,1.054,1.054,1.036,1.138,1.139,1.057,1413,13975,5116,104816,18437,60086,38464,18363,79317,56033,109811,17397,2315,2051,53,3723,3598,3169,145,268,84,0,378,351,3,15,9,190,819,122,647,274,713,280,9810,4547,4465,790,9,1,7,0,0,23,1162,1405,239,4,19,"Advocate Physician Partners Accountable Care, Inc.",131212,1510,12764,3302,113637,290,1465,1801,3538,157,804,202,14.68611012,9.839007868,8.573883696
A04423,2014,New York,4/1/12,1,0,0,25614,-0.0111,0.0244,-2190609,0,0,0.91,7942,7751,197196601,199387211,,,0.5,0.46,57622,6427,8979,6895,59946,6261,9801,7040,62098,6486,9278,7461,69269,7208,9106,7473,8030,1.04,0.945,0.97,1.052,1.036,0.967,0.984,1.045,1.034,0.943,0.974,1.063,1.01,0.966,0.944,1.079,230,5979,1161,18768,6865,9424,6015,3310,13925,11689,22796,1903,162,98,35,620,2569,2362,6,142,72,2,270,256,0,7,7,164,807,61,636,198,795,257,8880,3356,3847,1673,4,0,0,0,0,11,295,841,208,5,0,"Catholic Medical Partners-Accountable Care IPA, Inc.",24830,216,5676,1206,17732,126,608,1461,2720,86,466,200,12.40422469,6.564573454,6.282659256
A85439,2014,Texas,4/1/12,0,1,1,7863,0.1269,0.02,13767494,13767494,7528797,0.93,14175,14184,108469972,94702479,0,0,0.6,0.56,92593,12308,17233,10623,81467,11683,15725,9816,81288,11146,14306,9713,77847,9139,11752,9395,12376,1.09,1.292,1.159,1.154,1.06,1.276,1.172,1.126,1.06,1.232,1.167,1.204,1.096,1.236,1.127,1.131,228,1248,3258,3767,1431,3011,2498,923,4496,3367,5831,26,*,1838,*,144,4012,2969,391,701,17,0,382,323,11,45,3,185,802,45,657,235,726,281,12645,7871,4300,410,64,0,0,0,0,0,19,1,5,0,0,"RGV ACO Health Providers, LLC",7652,239,1078,2846,3489,361,532,2122,3971,311,1256,287,13.98327235,3.920543649,7.318348144
A15929,2014,Florida,4/1/12,1,0,0,17970,0.0618,0.0258,14152196,14152196,6326253,0.91,13157,13148,228926045,214773849,,,0.5,0.46,75677,11621,18061,11195,77614,11738,17368,11965,90868,12274,17986,12305,82947,11169,16861,11534,12344,1.047,1.332,1.15,1.283,1.079,1.331,1.204,1.302,1.063,1.302,1.186,1.346,1.12,1.288,1.159,1.323,115,2046,852,13858,2555,6651,5607,3157,10455,7515,16785,541,*,171,*,310,3626,3079,119,348,117,1,441,404,3,19,15,177,806,121,733,335,851,357,12101,5437,5922,719,23,0,0,0,0,0,93,5,14,0,0,"West Florida ACO, LLC",17400,145,1996,839,14419,363,1410,1275,4624,147,1066,253,13.56354319,17.35673747,7.701333844
A64206,2014,"New York,  Pennsylvania",4/1/12,1,0,0,12201,-0.0241,0.0287,-3352402,0,0,0.87,11824,11991,138881297,142233699,,,0.5,0.44,101556,8646,14855,12055,112696,9028,17529,11170,92401,8055,17033,11509,98547,10373,14528,11462,12109,1.121,1.011,1.085,1.177,1.103,1.029,1.084,1.162,1.062,1.027,1.175,1.15,1.046,1.035,1.062,1.128,89,2116,487,6756,2998,5053,2738,1412,7006,5195,10726,821,*,247,*,329,4532,4048,48,320,156,2,383,351,1,16,14,202,853,112,727,300,772,232,12178,3706,7443,994,36,0,0,0,0,0,78,180,16,0,0,"Crystal Run Healthcare ACO, LLC",11746,95,2385,636,8630,129,1750,1688,3880,200,321,273,14.13267116,8.513657325,8.002837886
A09903,2014,"Kentucky,  Illinois",4/1/12,1,0,1,4845,0.113,0.0398,4964871,4964871,2178919,0.9,9318,9428,43952374,38987504,0,0,0.5,0.45,64173,8881,16890,8185,74802,8333,15303,8956,69558,8076,14390,8739,55453,8761,10827,7866,8265,1.016,1.124,1.147,1.077,1.02,1.103,1.146,1.065,1.028,1.098,1.123,1.088,1.021,1.078,1.125,1.081,35,667,186,4755,667,1966,1487,725,2898,1947,4597,208,*,*,*,*,2566,2314,*,217,*,0,316,300,*,14,*,149,818,67,523,186,667,220,9571,3610,3509,2428,24,0,0,0,0,0,12,9,11,0,0,"Jackson Purchase Medical Associates, PSC",4717,21,528,146,4022,183,757,1483,2661,100,433,262,18.01992792,*,12.71994912
A86333,2014,Michigan,7/1/12,1,0,0,5485,0.0162,0.0375,899665,0,0,0.89,10434,10409,55486201,54586536,,,0.5,0.45,80280,9587,13092,9516,83584,9878,13099,9931,97581,9212,12589,9490,73564,8573,12818,10061,10265,1.071,1.123,1.04,1.146,1.159,1.146,1.093,1.153,1.074,1.15,1.09,1.179,1.134,1.136,1.173,1.193,34,880,179,4392,1095,2070,1483,837,3180,2305,5120,221,*,28,*,85,3602,3100,111,314,112,0,420,381,4,19,15,176,803,97,734,313,716,194,9960,5771,3760,422,7,0,0,0,0,0,30,25,4,0,0,"Accountable Healthcare Alliance, PC",5318,30,889,170,4228,150,1101,1719,3189,141,534,176,16.92471635,17.67692597,9.026515389
A76034,2014,North Carolina,4/1/12,1,0,1,11306,0.0147,0.0292,1417267,0,0,0.91,8757,8764,96335641,94918374,3083992,0,0.5,0.46,75994,8020,13386,7254,80131,8851,15462,7573,72807,9146,13451,7709,63428,9258,10875,7986,8628,1,1.055,1.103,0.913,0.992,1.055,1.081,0.926,0.977,1.052,1.104,0.94,1.044,1.131,1.128,0.984,93,1041,502,9264,1416,5384,3268,1238,6382,4924,9639,1479,20,*,*,152,2720,2553,23,155,15,0,248,237,1,9,1,138,801,38,538,174,956,427,10760,4333,4673,1737,17,0,0,0,0,0,25,25,12,0,0,"Coastal Carolina Quality Care, Inc.",11001,82,978,434,9506,166,338,1537,3477,83,219,288,10.27210472,5.363311315,5.636022059
A05657,2014,"Kentucky,  Indiana",7/1/12,1,0,1,12618,0.0981,0.0284,13611421,13611421,6062187,0.91,11349,10861,138777395,125165973,2933104,2933104,0.5,0.45,95712,10747,19595,10612,82142,10254,15445,9669,76553,10667,18177,9633,77955,10598,14240,9009,10236,1.056,1.219,1.275,1.125,1.046,1.182,1.223,1.097,1.055,1.192,1.098,1.093,1.047,1.232,1.247,1.102,119,1824,426,10119,2334,5098,3439,1747,7297,5321,10535,1813,39,*,*,203,3193,2845,127,143,122,0,369,343,3,9,13,170,815,126,742,256,805,288,10664,5032,3978,1642,13,0,0,0,0,0,51,3,31,0,0,Quality Independent Physicians,12229,132,1870,564,9664,203,1238,2029,2944,177,486,321,16.51867551,8.831767103,13.4112019
A34299,2014,Massachusetts,4/1/12,1,0,0,6748,-0.0273,0.0345,-2010172,0,0,0.92,11217,11240,73539988,75550160,,,0.5,0.46,87102,10583,12893,9907,90583,11040,13656,10219,104429,10379,17149,10557,102740,11150,16340,10771,11524,1.141,1.196,0.981,1.059,1.069,1.102,0.958,1.054,1,1.119,0.928,1.051,1.021,1.066,0.994,1.088,34,727,186,4451,1068,3184,1696,800,3701,3047,6467,83,18,*,*,160,3726,3278,117,228,156,0,322,292,4,10,16,174,822,98,802,236,675,277,9930,3505,5019,1394,12,0,0,0,0,1,0,0,0,0,0,Jordan Community ACO,6556,36,797,244,5480,458,1031,2642,2970,243,768,183,16.93062511,8.541576633,10.9820271
A67604,2014,California,4/1/12,1,0,0,8837,-0.0142,0.0312,-2174221,0,0,0.64,17944,16741,152601571,154775792,,,0.5,0.32,90787,13459,15405,12395,87086,12754,14585,12098,99052,14151,16182,12598,90822,16421,18822,12380,18199,1.028,1.301,1.074,1.194,1.02,1.285,1.093,1.206,1.044,1.321,1.088,1.189,1.032,1.517,1.186,1.231,360,2013,3868,4443,1942,3028,2431,1436,4950,3887,5589,807,473,1499,15,454,6636,5030,1424,173,275,2,544,475,37,8,24,211,744,192,868,394,631,228,11604,5117,5851,623,12,0,1,0,0,0,110,178,19,3,1,"AppleCare Medical ACO, LLC",8504,372,1398,2277,4458,577,3159,2798,4649,475,1186,307,17.75530601,13.1694985,7.407842907
A53334,2014,North Carolina,1/1/13,1,0,0,12289,0.0018,0.0286,172746,0,0,0.9,7927,7709,94906288,94733542,,,0.5,0.45,69446,8731,19178,7113,62552,8268,18480,7067,63507,7763,9568,6972,65825,8815,10938,7174,7913,0.988,1.1,1.064,0.931,0.975,1.045,1.049,0.91,0.991,1.028,1.037,0.911,0.997,1.038,1.056,0.919,83,1454,359,9718,1947,6434,3054,854,6876,5413,10490,1541,32,14,12,200,2493,2323,8,130,42,0,251,239,0,6,5,148,782,34,487,158,653,276,9537,3333,4179,2019,6,0,0,0,0,0,47,89,26,1,0,"Physicians Healthcare Collaborative, LLC",11972,90,1348,355,10178,131,314,1327,3147,42,336,260,10.69176261,5.930587072,6.431763445
A51279,2014,New Jersey,4/1/12,1,0,0,23542,0.0398,0.0246,10017766,10017766,4440296,0.9,10996,11032,251794890,241777125,,,0.5,0.45,99807,9153,16648,8783,103826,10121,15551,9523,105304,10851,15901,9926,103976,10556,15050,9263,10558,1.094,1.112,1.14,1.05,1.061,1.122,1.141,1.047,1.066,1.107,1.105,1.052,1.086,1.067,1.114,1.034,168,2203,1860,19164,2999,10413,6651,3479,14145,9397,18549,2478,526,1121,12,856,3064,2754,99,181,90,0,289,268,3,10,8,181,837,97,541,222,650,274,11731,5223,6132,369,6,0,0,0,0,11,109,45,5,2,0,"Optimus Healthcare Partners, LLC",22900,178,2117,1744,18861,182,1265,1620,4198,180,346,193,10.52413236,6.768632845,6.506621251
A34178,2014,Tennessee,7/1/12,1,0,0,25997,0.0119,0.0244,2885308,0,0,0.9,9641,9649,242291358,239406050,,,0.5,0.45,72821,8094,13426,8225,69556,8374,13903,8616,68124,8679,15825,8950,65280,10230,16285,8594,9526,0.983,1.12,1.08,0.985,0.981,1.124,1.066,0.998,0.994,1.107,1.096,1.014,0.957,1.153,1.118,0.999,224,3096,938,21888,4169,11428,7279,3121,15112,10885,22783,2699,100,*,*,352,3057,2629,143,171,184,1,343,314,3,10,16,170,750,95,674,212,745,306,9070,3483,4193,1243,152,1,3,3,0,6,252,241,112,2,1,MissionPoint Health Partners,25131,225,2918,769,21219,238,1032,1623,2943,127,608,232,16.15534599,10.1866221,10.7039115
A24802,2014,Ohio,7/1/12,1,0,0,29846,0.0371,0.024,10225342,10225342,4456811,0.89,9573,9485,275693772,265468431,,,0.5,0.44,70740,8915,13868,8353,71958,8541,13626,8585,66180,8536,11030,8560,69659,8440,12477,8407,9218,0.999,1.164,1.138,1.092,1.019,1.192,1.127,1.112,1,1.147,1.132,1.115,1.023,1.148,1.134,1.117,314,5245,1112,20654,7477,11427,7119,3823,16878,12968,26854,2372,114,34,13,459,3015,2550,169,259,85,7,363,325,5,18,15,169,774,78,934,257,663,195,9191,4281,3868,1037,6,0,0,0,0,13,279,384,90,0,12,Summa Accountable Care Organization,28800,300,5947,1178,21375,271,839,2116,2524,144,388,227,15.06953165,10.90284087,12.08340326
A01714,2014,"Wisconsin,  Minnesota,  North Dakota",7/1/12,1,0,0,31798,-0.0353,0.0238,-9964420,0,0,0.88,9168,8900,282500096,292464516,,,0.5,0.44,71904,8038,10956,7864,72203,8344,11159,8156,75785,8527,11592,8397,74023,9101,12454,8946,9491,1.006,1.019,0.952,0.982,1.031,1.033,0.96,0.992,1.009,1.021,0.972,0.996,1.003,1.042,1.022,1.031,212,6621,909,26824,7820,10838,8525,4615,17410,14388,30521,181,48,37,632,379,3267,3042,34,107,103,2,312,296,1,5,10,163,790,80,829,144,559,215,7850,3485,2563,1711,91,12,0,7,0,19,387,1146,276,1,14,Essentia Health,30814,188,6643,1013,22970,219,848,2992,1848,122,193,270,12.62423431,7.431747191,11.03403513
A33196,2014,Florida,7/1/12,1,0,0,7288,0.1566,0.0334,16986294,16986294,6058533,0.73,15453,15489,108466811,91480517,,,0.5,0.36,82261,12327,17822,13330,82104,13563,17782,13995,91186,13495,17694,14149,81891,11566,13981,11458,13033,1.108,1.337,1.174,1.239,1.098,1.357,1.179,1.26,1.098,1.359,1.145,1.274,1.07,1.264,1.08,1.257,105,2217,1130,4832,2169,2652,1643,824,4147,3141,5594,1203,*,283,*,132,4169,3544,226,234,229,9,484,433,7,14,30,234,768,125,1059,366,851,279,11308,3786,4691,1301,1530,0,31,0,0,0,80,172,70,0,1,"Allcare Options, LLC",7019,122,1791,903,4204,335,1455,2101,4151,210,846,268,15.38625922,18.94789329,11.11229832
A05273,2014,Texas,4/1/12,1,0,0,21859,0.0663,0.0248,16041318,16041318,6335569,0.81,11356,11282,241841488,225800170,,,0.5,0.4,87968,12217,14290,9216,88719,12388,15284,8966,86167,12006,14662,8997,84793,11626,13893,8557,10603,1.008,1.222,1.012,1.073,1.006,1.218,1.003,1.063,1.031,1.188,1.036,1.069,1.046,1.209,0.996,1.069,361,2635,1961,17472,3248,10202,6029,2380,12643,9216,17166,2500,580,1046,24,543,3519,2494,653,393,80,0,325,275,20,21,9,164,717,33,581,208,704,307,9360,3813,5068,470,8,0,0,0,0,0,102,57,8,0,0,"Accountable Care Coalition of Texas, Inc.",21296,366,2233,1646,17051,137,392,1759,3687,121,1115,238,13.24192337,6.949661908,8.35837716
