ACO_Num,year,ACO_Name,ACO_State,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Start_Date,Track1,Track2
A04423,2015,"Catholic Medical Partners-Accountable Care IPA, Inc.",New York,0,25569,-0.0484,0.0244,-10081185,0,0,87.75,8398,7881,208078897,218160083,,,50,43.87,58209,6444,8823,6976,58530,6251,9819,7189,63501,6511,9397,7564,70557,7905,9225,8214,8804,1.043,0.942,0.973,1.061,1.03,0.968,0.983,1.055,1.031,0.948,0.984,1.073,1.05,0.984,0.951,1.096,241,5905,1157,18552,24778,244,5543,1155,17837,6543,9651,6001,3374,14028,11541,22794,1845,140,111,46,633,2628,2413,7,146,68,145,703,0,1729,2887,86,563,229,271,256,0,8,7,13,11,6,150,819,68,659,196,822,263,9115,3407,3885,1821,2,0,0,0,0,10,310,857,245,6,0,4/1/12,1,0
A85439,2015,"RGV ACO Health Providers, LLC",Texas,1,9959,0.1747,0.02,21613110,21613110,12619152,99.3,12782,12671,123683230,102070120,0,0,60,59.58,88609,10131,17030,9577,80800,11375,15799,9273,81809,10965,14091,9381,72976,8574,11954,8419,10548,1.057,1.142,1.096,1.056,1.025,1.137,1.091,1.069,1.033,1.144,1.102,1.106,1.032,1.139,1.102,1.094,204,1368,2886,6227,9677,214,1097,1880,6485,1510,4174,3072,1203,5752,4207,8173,110,*,1467,*,173,3408,2491,356,575,24,218,389,13,1764,3669,221,954,268,335,285,11,36,3,13,6,6,160,808,37,608,206,676,283,12124,6537,4740,793,53,0,0,0,0,0,33,4,9,0,0,4/1/12,0,1
A15929,2015,"West Florida ACO, LLC",Florida,0,18307,0.0897,0.0257,21388840,21388840,9842767,93.91,13421,13238,238443287,217054447,,,50,46.96,78065,11838,17704,11234,77542,12066,17932,12001,92458,12365,17993,12238,75647,11466,16096,11545,12217,1.052,1.364,1.186,1.287,1.085,1.35,1.221,1.309,1.081,1.316,1.211,1.347,1.103,1.287,1.198,1.334,134,2333,965,14033,17766,128,2047,852,14739,2533,7044,5554,3176,10626,7681,16981,582,188,*,*,378,3565,3118,92,296,86,331,1363,0,1307,4584,146,1008,259,435,404,3,16,12,14,21,7,195,807,121,751,340,923,331,12110,5488,5786,790,45,0,0,0,0,0,102,6,20,0,0,4/1/12,1,0
A64206,2015,"Crystal Run Healthcare ACO, LLC","New York, Pennsylvania",0,14770,-0.0124,0.0271,-2127477,0,0,87.4,12023,11991,171059789,173187266,,,50,43.7,101556,8646,14855,12055,112696,9028,17529,11170,92401,8055,17033,11509,91639,10187,14617,11675,12172,1.121,1.011,1.085,1.177,1.103,1.029,1.084,1.162,1.062,1.027,1.175,1.15,1.081,1.025,1.054,1.113,89,2116,487,6756,14228,111,2612,721,10785,3252,6404,3452,1662,8328,6442,12876,988,115,305,14,472,4506,4043,65,339,95,140,1602,0,1743,3971,186,371,265,351,325,2,16,8,15,10,11,198,843,96,715,275,791,255,11751,3380,7283,1065,24,0,0,0,0,0,83,181,22,0,0,4/1/12,1,0
A09903,2015,"Jackson Purchase Medical Associates, PSC","Illinois, Kentucky",1,4566,0.1102,0.0414,4627517,4627517,1976694,87.18,9449,9428,41991362,37363845,0,0,50,43.59,64173,8881,16890,8185,74802,8333,15303,8956,69558,8076,14390,8739,53329,8248,11998,8119,8408,1.016,1.124,1.147,1.077,1.02,1.103,1.146,1.065,1.028,1.098,1.123,1.088,1.08,1.112,0.975,1.068,35,667,186,4755,4444,17,469,123,3835,601,1867,1425,673,2738,1828,4334,194,*,0,*,*,2487,2245,5,203,34,149,904,0,1462,2745,107,429,277,300,284,0,12,3,17,12,9,159,833,74,544,192,667,219,9394,3518,3337,2509,30,0,0,0,0,0,11,7,12,0,0,4/1/12,1,0
A86333,2015,"Accountable Healthcare Alliance, PC",Michigan,0,6787,0.018,0.0344,1249404,0,0,87.19,10561,10158,69548764,68299360,,,50,43.6,76234,9083,12780,9134,78737,9528,13174,9546,87555,9362,12219,9367,69799,8173,14247,10139,10371,1.044,1.094,1.042,1.106,1.12,1.107,1.092,1.125,1.072,1.104,1.063,1.147,1.048,1.084,1.144,1.166,45,958,197,5658,6586,45,946,170,5424,1169,2646,1840,1132,3901,2886,6408,201,*,27,*,121,3424,2988,98,247,106,202,1145,1,1836,3112,129,576,192,401,370,3,14,14,15,22,10,171,832,102,735,297,738,205,9795,5454,3639,692,9,0,0,0,0,0,26,20,5,0,0,7/1/12,1,0
A76034,2015,"Coastal Carolina Quality Care, Inc.",North Carolina,1,11573,-0.0103,0.0291,-1043371,0,0,97.7,8949,8764,100884806,101928177,3083992,0,50,48.85,75994,8020,13386,7254,80131,8851,15462,7573,72807,9146,13451,7709,63090,9438,10962,8492,9042,1,1.055,1.103,0.913,0.992,1.055,1.081,0.926,0.977,1.052,1.104,0.94,1.013,1.111,1.107,1.047,93,1041,502,9264,11273,79,970,396,9829,1323,5676,3295,1279,6514,5059,9853,1520,25,*,*,156,2825,2676,11,136,10,173,361,0,1503,3736,78,243,267,239,230,0,7,1,10,7,4,137,803,40,548,162,1040,444,11122,4314,4812,1990,5,0,0,0,0,0,26,25,12,0,0,4/1/12,1,0
A05657,2015,"Quality Independent Physicians, LLC","Indiana, Kentucky",1,11591,0.0337,0.029,4179176,4179176,1918442,93.68,11022,10129,123860610,119681434,0,0,50,46.84,87357,9573,17326,9352,82090,9757,14818,9124,76594,9997,17792,9028,72869,11139,15872,9512,10650,1.039,1.167,1.192,1.079,1.035,1.171,1.193,1.077,1.049,1.156,1.072,1.067,1.059,1.229,1.19,1.098,107,1584,358,9775,11238,113,1511,502,9113,1903,4885,3200,1603,6496,5095,9776,1528,38,*,*,220,3471,3043,174,212,88,167,1214,0,2019,3109,186,508,343,374,348,5,12,9,16,13,12,165,818,125,729,258,841,290,10757,4983,3915,1845,14,0,0,0,0,0,48,1,22,0,0,7/1/12,1,0
A67604,2015,"AppleCare Medical ACO, LLC",California,0,7767,0.0252,0.0325,3340407,0,0,74.11,17712,16577,132430353,129089947,,,50,37.06,89359,13374,15244,12129,86107,12781,14402,11958,99132,14206,16026,12438,85103,15042,17872,12479,17266,1.02,1.31,1.069,1.181,1.017,1.288,1.088,1.196,1.044,1.327,1.082,1.181,1.035,1.364,1.177,1.203,348,1964,3789,4358,7477,315,1252,1805,4106,1701,2778,2057,1231,4358,3409,4951,665,385,1323,18,425,6073,4763,1028,227,238,532,2548,1,2861,4451,297,1175,334,491,432,27,9,22,21,13,10,201,748,153,840,362,637,256,11427,4805,6082,526,13,0,1,0,0,0,113,138,21,2,1,4/1/12,1,0
A53334,2015,"Physicians Healthcare Collaborative, LLC",North Carolina,0,13548,0.0045,0.0279,479019,0,0,98.06,7971,7709,105481761,105002742,,,50,49.03,69446,8731,19178,7113,62552,8268,18480,7067,63507,7763,9568,6972,62939,8229,13054,7308,7935,0.988,1.1,1.064,0.931,0.975,1.045,1.049,0.91,0.991,1.028,1.037,0.911,0.985,1.059,1.034,0.891,83,1454,359,9718,13233,90,1442,338,11363,2023,7304,3322,899,7488,6060,11577,1627,34,23,16,271,2363,2205,5,128,31,163,278,0,1382,3188,44,340,291,232,221,0,7,4,10,7,6,140,786,32,498,144,659,296,9425,3156,4136,2121,12,0,0,0,0,0,52,83,28,1,0,1/1/13,1,0
A51279,2015,"Optimus Healthcare Partners, LLC",New Jersey,0,24436,0.0351,0.0246,9749131,9749131,4173290,87.36,11685,11552,277811973,268062843,,,50,43.68,104248,10248,17724,9301,108432,10392,16589,10004,104228,10956,16274,10195,99957,11470,16405,9670,11275,1.125,1.197,1.201,1.083,1.072,1.179,1.198,1.073,1.079,1.137,1.157,1.074,1.06,1.119,1.156,1.035,202,2233,2010,19117,23775,214,2330,2177,19054,3106,10704,6932,3694,14682,9754,18562,3020,551,1385,19,899,3281,2853,158,212,111,221,1453,0,1765,4273,118,383,188,295,271,4,11,9,11,9,6,166,834,104,583,228,676,273,11915,5292,6105,511,6,0,0,0,0,11,130,44,14,2,0,4/1/12,1,0
A34178,2015,MissionPoint Health Partners,Tennessee,0,32937,0.0256,0.0237,7920593,7920593,3373351,86.92,9714,9536,310000930,302080337,,,50,43.46,72691,8245,13467,8172,71023,8230,13598,8573,69601,8607,15207,8927,67639,9798,14943,8741,9466,0.983,1.133,1.075,0.984,0.99,1.125,1.062,1,1.001,1.105,1.09,1.016,0.953,1.159,1.107,1.015,206,3416,1021,23254,31913,221,3966,960,26766,5304,14933,8917,3783,19154,13783,29166,3051,106,63,16,535,2915,2528,84,186,150,224,889,0,1543,3123,146,634,267,332,305,2,10,15,16,14,11,171,757,84,700,214,804,334,9296,3448,4256,1492,100,1,3,3,0,9,277,265,152,2,1,7/1/12,1,0
A24802,2015,New Health Collaborative,Ohio,0,27205,0.0255,0.0243,6571919,6571919,3060189,95.03,9817,9795,257836443,251264524,,,50,47.51,68631,8980,14383,8576,71976,8674,13790,8814,66764,8766,11384,8963,73306,9047,10899,8920,9567,0.993,1.169,1.161,1.1,1.024,1.186,1.158,1.112,0.993,1.153,1.135,1.12,1.052,1.121,1.059,1.094,292,4672,1008,19277,26265,232,4642,730,20660,5870,11135,6566,3634,15309,11896,24649,1880,111,32,11,522,3088,2612,128,293,81,311,909,2,2035,2650,137,420,241,363,326,4,20,13,16,13,9,178,783,83,889,252,701,211,9266,4253,3915,1092,6,0,0,0,0,11,287,362,100,0,11,7/1/12,1,0
A01714,2015,Essentia Health,"Minnesota, North Dakota, Wisconsin",0,31447,-0.0626,0.0239,-18366717,0,0,91.06,9623,9003,293494739,311861456,,,50,45.53,74255,8081,11412,7941,71848,8444,11449,8235,75571,8582,11735,8520,83849,9856,13971,9518,10226,1.006,1.011,0.949,0.978,1.028,1.027,0.952,0.989,1.004,1.015,0.965,0.994,1.037,1.049,1.028,1.06,216,6949,960,27374,30498,201,6886,961,22449,7933,10962,7957,4595,17133,14314,30054,198,58,37,683,417,3465,3218,44,131,97,255,958,0,3289,1926,127,212,285,321,305,1,6,9,12,8,11,159,780,81,875,154,647,225,8037,3328,2525,1940,244,17,0,15,0,39,408,1249,408,1,14,7/1/12,1,0
A33196,2015,"Allcare Options, LLC",Florida,0,8346,0.1217,0.0317,15843163,15843163,7258545,93.5,16386,15556,130147305,114304142,,,50,46.75,84128,12421,17802,13341,83618,13695,17923,14101,91203,13609,17808,14176,82308,12965,17802,12285,14392,1.118,1.336,1.179,1.239,1.109,1.365,1.187,1.254,1.102,1.358,1.136,1.274,1.083,1.342,1.171,1.271,101,2145,1073,4605,7942,143,1717,1010,5073,2106,3013,2002,1225,4792,3554,6552,1254,*,285,*,171,4360,3571,403,233,240,590,1938,5,2366,4330,245,868,310,484,431,10,12,30,14,22,14,208,761,158,1074,378,971,288,12140,3827,4556,2067,1690,0,31,0,0,0,79,366,79,0,0,7/1/12,1,0
A05273,2015,"Accountable Care Coalition of Texas, Inc.",Texas,0,20014,0.0464,0.025,10122154,10122154,4533923,91.41,11161,10835,217930552,207808397,,,50,45.71,88486,11715,13467,8906,88281,11695,14512,8773,83683,11567,13930,8794,86576,11439,13997,8840,10643,1.005,1.21,1.009,1.065,1.003,1.201,1.004,1.056,1.03,1.174,1.021,1.062,1.026,1.233,1.072,1.07,315,2424,1825,16721,19526,327,1927,931,16341,2748,9617,5490,2159,11420,8594,15985,2214,440,808,22,545,3419,2495,495,441,60,127,346,1,1751,3819,117,1136,234,306,260,15,23,8,13,11,7,159,728,30,562,195,743,313,9535,3847,5138,543,8,0,0,0,0,0,107,57,10,0,0,4/1/12,1,0
A65596,2015,"Integrated Care Alliance, LLC",Florida,0,7033,0.0127,0.0339,926024,0,0,99.11,10724,10348,73077229,72151204,,,50,49.55,88699,8342,14778,8769,75101,7883,17112,9135,75090,7591,17551,9672,94283,9091,13811,9607,10588,1.029,1.049,1.096,1.009,1.002,1.076,1.046,1.026,1.066,1.08,1.065,1.012,1.02,1.031,1.041,1.025,67,1167,463,5702,6814,69,1032,334,5380,1341,3250,1824,618,3974,3059,6083,698,*,93,*,116,3101,2715,149,202,52,247,940,0,1243,4217,107,627,313,353,331,4,11,7,15,12,9,199,804,82,636,263,959,360,11361,4321,6403,585,53,0,0,0,0,0,27,55,17,0,0,7/1/12,1,0
A27119,2015,"Accountable Care Coalition of Northwest Florida, LLC","Alabama, Florida",0,9847,-0.0511,0.0302,-5565002,0,0,88.89,11504,10288,109002636,114567639,,,50,44.45,69819,8653,12249,9216,67559,8606,12310,9479,76322,8790,10855,9359,80536,11863,15404,10788,12091,1.017,1.01,1.037,1.047,1.005,1.074,1.03,1.052,1.013,1.098,1.026,1.073,1.068,1.213,1.217,1.179,97,1845,636,6282,9475,112,1620,610,7133,1995,4077,2620,1155,5564,4283,8154,1341,120,19,19,194,3587,3056,417,71,95,399,1306,0,2367,3524,188,717,398,432,401,10,5,16,16,15,11,190,747,134,974,335,860,372,11308,3403,4491,2258,1156,0,5,1,0,1,34,37,21,0,0,7/1/12,1,0
A99401,2015,"Accountable Care Organization of the North Country, LLC",New York,0,8527,-0.0343,0.0315,-2365964,0,0,96.01,8364,7949,69060556,71426520,,,50,48,64528,5956,10445,7089,64951,7046,10141,7397,73674,7594,9473,7479,59338,8213,12536,8213,8650,1.055,0.989,1.023,1.06,1.063,0.958,1.028,1.044,1.062,1.002,1.07,1.078,1.045,0.985,1.137,1.076,28,1163,425,5682,8257,31,1378,468,6380,1690,3470,2266,1101,4776,3751,8275,*,*,*,52,145,2991,2875,0,47,77,154,459,0,2522,1990,141,246,375,315,304,0,2,9,14,16,14,185,787,57,856,240,660,216,9006,5002,3132,858,14,0,0,0,0,2,47,54,24,1,0,4/1/12,1,0
A92107,2015,Central Maine ACO,Maine,0,13594,0.0092,0.0278,1136357,0,0,99.3,9305,8624,123281659,122145302,,,50,49.65,74951,7857,10087,7443,64901,7618,10275,7581,74703,7697,10796,7981,70682,8091,11262,8635,9219,0.967,0.997,0.956,0.966,1.02,1,0.955,1,1.034,0.982,0.968,0.994,1.033,0.943,0.937,1.021,60,3836,2766,8584,13249,73,3503,1945,7728,3855,4638,3538,1563,7648,5946,13276,56,35,20,14,193,2582,2361,9,152,64,304,686,4,3024,2055,153,405,310,290,272,0,9,8,12,12,12,163,809,57,996,152,620,230,8667,3402,3151,1277,837,2,3,3,0,13,146,670,89,3,0,7/1/12,1,0
